title,price_gbp,price_inr,rating,in_stock,category
Glory over Everything: Beyond The Kitchen House,45.84,4836.120000000001,3,True,Historical Fiction
"Love, Lies and Spies",20.55,2168.025,2,True,Historical Fiction
A Paris Apartment,39.01,4115.554999999999,4,True,Historical Fiction
Lilac Girls,17.28,1823.0400000000002,2,True,Historical Fiction
The Constant Princess (The Tudor Court #1),16.62,1753.41,3,True,Historical Fiction
The Invention of Wings,37.34,3939.3700000000003,1,True,Historical Fiction
World Without End (The Pillars of the Earth #2),32.97,3478.335,4,True,Historical Fiction
The Passion of Dolssa,28.32,2987.76,5,True,Historical Fiction
Girl With a Pearl Earring,26.77,2824.235,1,True,Historical Fiction
Voyager (Outlander #3),21.07,2222.885,5,True,Historical Fiction
The Red Tent,35.66,3762.1299999999997,5,True,Historical Fiction
The Last Painting of Sara de Vos,55.55,5860.525,2,True,Historical Fiction
The Guernsey Literary and Potato Peel Pie Society,49.53,5225.415,1,True,Historical Fiction
Girl in the Blue Coat,46.83,4940.565,2,True,Historical Fiction
Between Shades of Gray,20.79,2193.345,5,True,Historical Fiction
While You Were Mine,41.32,4359.26,5,True,Historical Fiction
The Secret Healer,34.56,3646.0800000000004,3,True,Historical Fiction
Starlark,25.83,2725.0649999999996,3,True,Historical Fiction
Lost Among the Living,27.7,2922.35,4,True,Historical Fiction
A Spy's Devotion (The Regency Spies of London #1),16.97,1790.3349999999998,5,True,Historical Fiction
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),52.29,5516.595,5,True,Sequential Art
Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2),16.28,1717.5400000000002,1,True,Sequential Art
This One Summer,19.49,2056.1949999999997,4,True,Sequential Art
The Nameless City (The Nameless City #1),38.16,4025.8799999999997,4,True,Sequential Art
"Saga, Volume 5 (Saga (Collected Editions) #5)",51.04,5384.72,2,True,Sequential Art
"Rat Queens, Vol. 3: Demons (Rat Queens (Collected Editions) #11-15)",50.4,5317.2,3,True,Sequential Art
"Princess Jellyfish 2-in-1 Omnibus, Vol. 01 (Princess Jellyfish 2-in-1 Omnibus #1)",13.61,1435.855,5,True,Sequential Art
"Pop Gun War, Volume 1: Gift",18.97,2001.3349999999998,1,True,Sequential Art
Patience,10.16,1071.88,3,True,Sequential Art
"Outcast, Vol. 1: A Darkness Surrounds Him (Outcast #1)",15.44,1628.9199999999998,4,True,Sequential Art
orange: The Complete Collection 1 (orange: The Complete Collection #1),48.41,5107.254999999999,1,True,Sequential Art
"Lumberjanes, Vol. 2: Friendship to the Max (Lumberjanes #5-8)",46.91,4949.004999999999,2,True,Sequential Art
"Lumberjanes, Vol. 1: Beware the Kitten Holy (Lumberjanes #1-4)",45.61,4811.855,3,True,Sequential Art
Lumberjanes Vol. 3: A Terrible Plan (Lumberjanes #9-12),19.92,2101.5600000000004,2,True,Sequential Art
"I Hate Fairyland, Vol. 1: Madly Ever After (I Hate Fairyland (Compilations) #1-5)",29.17,3077.4350000000004,2,True,Sequential Art
I am a Hero Omnibus Volume 1,54.63,5763.465,3,True,Sequential Art
"Giant Days, Vol. 2 (Giant Days #5-8)",22.11,2332.605,2,True,Sequential Art
Danganronpa Volume 1,51.99,5484.945000000001,4,True,Sequential Art
"Codename Baboushka, Volume 1: The Conclave of Death",36.72,3873.96,4,True,Sequential Art
Camp Midnight,17.08,1801.9399999999998,4,True,Sequential Art
"Bitch Planet, Vol. 1: Extraordinary Machine (Bitch Planet (Collected Editions))",37.92,4000.5600000000004,2,True,Sequential Art
The Shadow Hero (The Shadow Hero),33.14,3496.27,1,True,Sequential Art
"Fables, Vol. 1: Legends in Exile (Fables #1)",41.62,4390.91,4,True,Sequential Art
Batman: The Long Halloween (Batman),36.5,3850.75,2,True,Sequential Art
Batman: The Dark Knight Returns (Batman),15.38,1622.5900000000001,5,True,Sequential Art
"Wonder Woman: Earth One, Volume One (Wonder Woman: Earth One #1)",37.34,3939.3700000000003,4,True,Sequential Art
"We Are Robin, Vol. 1: The Vigilante Business (We Are Robin #1)",53.9,5686.45,1,True,Sequential Art
Through the Woods,25.38,2677.5899999999997,2,True,Sequential Art
Superman Vol. 1: Before Truth (Superman by Gene Luen Yang #1),11.89,1254.395,5,True,Sequential Art
"So Cute It Hurts!!, Vol. 6 (So Cute It Hurts!! #6)",35.43,3737.865,4,True,Sequential Art
Robin War,47.82,5045.01,3,True,Sequential Art
"Red Hood/Arsenal, Vol. 1: Open for Business (Red Hood/Arsenal #1)",25.48,2688.14,2,True,Sequential Art
"Naruto (3-in-1 Edition), Vol. 14: Includes Vols. 40, 41 & 42 (Naruto: Omnibus #14)",38.39,4050.145,2,True,Sequential Art
Lowriders to the Center of the Earth (Lowriders in Space #2),51.51,5434.304999999999,2,True,Sequential Art
El Deafo,57.62,6078.91,5,True,Sequential Art
Batman: Europa,32.01,3377.055,2,True,Sequential Art
Art Ops Vol. 1,48.8,5148.4,3,True,Sequential Art
"Adulthood Is a Myth: A ""Sarah's Scribbles"" Collection",10.9,1149.95,2,True,Sequential Art
"Fruits Basket, Vol. 9 (Fruits Basket #9)",33.95,3581.7250000000004,4,True,Sequential Art
Roller Girl,14.1,1487.55,5,True,Sequential Art
"Fruits Basket, Vol. 7 (Fruits Basket #7)",19.57,2064.635,1,True,Sequential Art
"Fruits Basket, Vol. 6 (Fruits Basket #6)",20.96,2211.28,4,True,Sequential Art
"Death Note, Vol. 6: Give-and-Take (Death Note #6)",36.39,3839.145,3,True,Sequential Art
"Fruits Basket, Vol. 5 (Fruits Basket #5)",16.33,1722.8149999999998,1,True,Sequential Art
"Death Note, Vol. 5: Whiteout (Death Note #5)",52.41,5529.254999999999,1,True,Sequential Art
"The Demon Prince of Momochi House, Vol. 4 (The Demon Prince of Momochi House #4)",27.88,2941.3399999999997,2,True,Sequential Art
"Fruits Basket, Vol. 4 (Fruits Basket #4)",50.44,5321.42,4,True,Sequential Art
"The Wicked + The Divine, Vol. 3: Commercial Suicide (The Wicked + The Divine)",14.41,1520.255,3,True,Sequential Art
"The Sandman, Vol. 3: Dream Country (The Sandman (volumes) #3)",55.55,5860.525,5,True,Sequential Art
"Saga, Volume 3 (Saga (Collected Editions) #3)",21.57,2275.635,5,True,Sequential Art
Prodigy: The Graphic Novel (Legend: The Graphic Novel #2),43.63,4602.965,3,True,Sequential Art
Persepolis: The Story of a Childhood (Persepolis #1-2),39.13,4128.215,1,True,Sequential Art
Original Fake,31.45,3317.975,3,True,Sequential Art
"Grayson, Vol 3: Nemesis (Grayson #3)",42.72,4506.96,1,True,Sequential Art
"Fruits Basket, Vol. 3 (Fruits Basket #3)",45.17,4765.435,2,True,Sequential Art
"Black Butler, Vol. 1 (Black Butler #1)",49.31,5202.205,1,True,Sequential Art
Awkward,38.02,4011.11,2,True,Sequential Art
"The Sandman, Vol. 2: The Doll's House (The Sandman (volumes) #2)",54.81,5782.455,1,True,Sequential Art
"Saga, Volume 2 (Saga (Collected Editions) #2)",11.75,1239.625,3,True,Sequential Art
"Fruits Basket, Vol. 2 (Fruits Basket #2)",11.64,1228.02,5,True,Sequential Art
"Y: The Last Man, Vol. 1: Unmanned (Y: The Last Man #1)",18.51,1952.805,4,True,Sequential Art
"The Wicked + The Divine, Vol. 1: The Faust Act (The Wicked + The Divine)",36.52,3852.86,2,True,Sequential Art
"The Sandman, Vol. 1: Preludes and Nocturnes (The Sandman (volumes) #1)",54.12,5709.66,3,True,Sequential Art
The Complete Maus (Maus #1-2),10.64,1122.52,3,True,Sequential Art
"Skip Beat!, Vol. 01 (Skip Beat! #1)",42.12,4443.66,3,True,Sequential Art
"Saga, Volume 1 (Saga (Collected Editions) #1)",28.48,3004.64,1,True,Sequential Art
"Rat Queens, Vol. 1: Sass & Sorcery (Rat Queens (Collected Editions) #1-5)",46.96,4954.28,5,True,Sequential Art
"Paper Girls, Vol. 1 (Paper Girls #1-5)",21.71,2290.405,4,True,Sequential Art
"Ouran High School Host Club, Vol. 1 (Ouran High School Host Club #1)",29.87,3151.2850000000003,3,True,Sequential Art
"Ms. Marvel, Vol. 1: No Normal (Ms. Marvel (2014-2015) #1)",39.39,4155.645,4,True,Sequential Art
"Hawkeye, Vol. 1: My Life as a Weapon (Hawkeye #1)",45.24,4772.820000000001,3,True,Sequential Art
"Giant Days, Vol. 1 (Giant Days #1-4)",56.76,5988.179999999999,4,True,Sequential Art
"Fruits Basket, Vol. 1 (Fruits Basket #1)",40.28,4249.54,5,True,Sequential Art
"Bleach, Vol. 1: Strawberry and the Soul Reapers (Bleach #1)",34.65,3655.575,5,True,Sequential Art
"Ajin: Demi-Human, Volume 1 (Ajin: Demi-Human #1)",57.06,6019.83,4,True,Sequential Art
The Secret Garden,15.08,1590.94,4,True,Classics
The Metamorphosis,28.58,3015.1899999999996,1,True,Classics
The Pilgrim's Progress,50.26,5302.429999999999,2,True,Classics
The Hound of the Baskervilles (Sherlock Holmes #5),14.82,1563.51,2,True,Classics
Little Women (Little Women #1),28.07,2961.385,4,True,Classics
Gone with the Wind,32.49,3427.695,3,True,Classics
Candide,58.63,6185.465,3,True,Classics
Animal Farm,57.22,6036.71,3,True,Classics
Wuthering Heights,17.73,1870.515,3,True,Classics
The Picture of Dorian Gray,29.7,3133.35,2,True,Classics
The Complete Stories and Poems (The Works of Edgar Allan Poe [Cameo Edition]),26.78,2825.29,4,True,Classics
Beowulf,38.35,4045.925,2,True,Classics
And Then There Were None,35.01,3693.555,2,True,Classics
The Story of Hong Gildong,43.19,4556.545,4,True,Classics
The Little Prince,45.42,4791.81,2,True,Classics
Sense and Sensibility,37.46,3952.03,1,True,Classics
Of Mice and Men,47.11,4970.105,2,True,Classics
Emma,32.93,3474.115,2,True,Classics
Alice in Wonderland (Alice's Adventures in Wonderland #1),55.53,5858.415,1,True,Classics
Sophie's World,15.94,1681.6699999999998,5,True,Philosophy
The Death of Humanity: and the Case for Life,58.11,6130.605,4,True,Philosophy
The Stranger,17.44,1839.92,4,True,Philosophy
Proofs of God: Classical Arguments from Tertullian to Barth,54.21,5719.155,1,True,Philosophy
Kierkegaard: A Christian Missionary to Christians,47.13,4972.215,1,True,Philosophy
"At The Existentialist CafÃ©: Freedom, Being, and apricot cocktails with: Jean-Paul Sartre, Simone de Beauvoir, Albert Camus, Martin Heidegger, Edmund Husserl, Karl Jaspers, Maurice Merleau-Ponty and others",29.93,3157.615,5,True,Philosophy
Critique of Pure Reason,20.75,2189.125,1,True,Philosophy
"Run, Spot, Run: The Ethics of Keeping Pets",20.02,2112.11,1,True,Philosophy
The Nicomachean Ethics,36.34,3833.8700000000003,1,True,Philosophy
Meditations,25.89,2731.395,2,True,Philosophy
Beyond Good and Evil,43.38,4576.59,1,True,Philosophy
Chase Me (Paris Nights #2),25.27,2665.985,5,True,Romance
Black Dust,34.53,3642.915,5,True,Romance
Her Backup Boyfriend (The Sorensen Family #1),33.97,3583.835,1,True,Romance
First and First (Five Boroughs #3),15.97,1684.835,4,True,Romance
Fifty Shades Darker (Fifty Shades #2),21.96,2316.78,1,True,Romance
The Wedding Dress,24.12,2544.6600000000003,1,True,Romance
Suddenly in Love (Lake Haven #1),55.99,5906.945000000001,2,True,Romance
Something More Than This,16.24,1713.32,4,True,Romance
Doing It Over (Most Likely To #1),35.61,3756.855,3,True,Romance
The Wedding Pact (The O'Malleys #2),32.61,3440.355,3,True,Romance
Hold Your Breath (Search and Rescue #1),28.82,3040.51,1,True,Romance
Dirty (Dive Bar #1),40.83,4307.565,4,True,Romance
Take Me Home Tonight (Rock Star Romance #3),53.98,5694.889999999999,3,True,Romance
Off the Hook (Fishing for Trouble #1),47.67,5029.185,3,True,Romance
A Gentleman's Position (Society of Gentlemen #3),14.75,1556.125,5,True,Romance
"Sit, Stay, Love",20.9,2204.95,3,True,Romance
A Girl's Guide to Moving On (New Beginnings #2),31.3,3302.15,1,True,Romance
The Perfect Play (Play by Play #1),59.99,6328.945000000001,3,True,Romance
Dark Lover (Black Dagger Brotherhood #1),12.87,1357.7849999999999,1,True,Romance
Changing the Game (Play by Play #2),13.38,1411.5900000000001,3,True,Romance
A Walk to Remember,56.43,5953.365,1,True,Romance
The Purest Hook (Second Circle Tattoos #3),12.25,1292.375,1,True,Romance
The Obsession,45.43,4792.865,1,True,Romance
Reservations for Two,11.1,1171.05,3,True,Romance
Best of My Love (Fool's Gold #20),27.41,2891.755,2,True,Romance
Where Lightning Strikes (Bleeding Stars #3),39.77,4195.735000000001,3,True,Romance
This One Moment (Pushing Limits #1),48.71,5138.905,1,True,Romance
"Rhythm, Chord & Malykhin",28.34,2989.87,2,True,Romance
My Perfect Mistake (Over the Top #1),38.92,4106.06,2,True,Romance
Listen to Me (Fusion #1),58.99,6223.445000000001,3,True,Romance
Imperfect Harmony,34.74,3665.07,4,True,Romance
Fighting Fate (Fighting #6),39.24,4139.820000000001,3,True,Romance
Deep Under (Walker Security #1),47.09,4967.995000000001,5,True,Romance
Charity's Cross (Charles Towne Belles #4),41.24,4350.820000000001,1,True,Romance
Bounty (Colorado Mountain #7),37.26,3930.93,4,True,Romance
I Had a Nice Time And Other Lies...: How to find love & sh*t like that,57.36,6051.48,4,True,Womens Fiction
Will You Won't You Want Me?,13.86,1462.23,3,True,Womens Fiction
Keep Me Posted,20.46,2158.53,4,True,Womens Fiction
Grey (Fifty Shades #4),48.49,5115.695000000001,4,True,Womens Fiction
Meternity,43.58,4597.69,3,True,Womens Fiction
Some Women,13.73,1448.515,5,True,Womens Fiction
Shopaholic Ties the Knot (Shopaholic #3),48.39,5105.145,5,True,Womens Fiction
Can You Keep a Secret?,21.94,2314.67,1,True,Womens Fiction
Twenties Girl,42.8,4515.4,2,True,Womens Fiction
The Undomestic Goddess,45.75,4826.625,4,True,Womens Fiction
The Nanny Diaries (Nanny #1),52.53,5541.915,5,True,Womens Fiction
The Devil Wears Prada (The Devil Wears Prada #1),44.29,4672.595,1,True,Womens Fiction
Something Borrowed (Darcy & Rachel #1),48.96,5165.28,5,True,Womens Fiction
Something Blue (Darcy & Rachel #2),54.62,5762.41,1,True,Womens Fiction
I've Got Your Number,19.69,2077.295,1,True,Womens Fiction
The Edge of Reason (Bridget Jones #2),19.18,2023.49,4,True,Womens Fiction
Bridget Jones's Diary (Bridget Jones #1),29.82,3146.01,1,True,Womens Fiction
Soumission,50.1,5285.55,1,True,Fiction
Private Paris (Private #10),47.61,5022.855,5,True,Fiction
"We Love You, Charlie Freeman",50.27,5303.485000000001,5,True,Fiction
Thirst,17.27,1821.985,5,True,Fiction
The Murder That Never Was (Forensic Instincts #5),54.11,5708.605,3,True,Fiction
Tuesday Nights in 1980,21.04,2219.72,2,True,Fiction
The Vacationers,42.15,4446.825,4,True,Fiction
The Regional Office Is Under Attack!,51.36,5418.48,5,True,Fiction
Finders Keepers (Bill Hodges Trilogy #2),53.53,5647.415,5,True,Fiction
The Time Keeper,27.88,2941.3399999999997,5,True,Fiction
The Testament of Mary,52.67,5556.685,4,True,Fiction
The First Hostage (J.B. Collins #2),25.85,2727.175,3,True,Fiction
Take Me with You,45.21,4769.655,3,True,Fiction
Still Life with Bread Crumbs,26.41,2786.255,3,True,Fiction
Shtum,55.84,5891.120000000001,4,True,Fiction
My Name Is Lucy Barton,41.56,4384.58,1,True,Fiction
My Mrs. Brown,24.48,2582.64,3,True,Fiction
Mr. Mercedes (Bill Hodges Trilogy #1),28.9,3048.95,1,True,Fiction
I Am Pilgrim (Pilgrim #1),10.6,1118.3,4,True,Fiction
Eligible (The Austen Project #4),27.09,2857.995,3,True,Fiction
Eight Hundred Grapes,14.39,1518.145,4,True,Fiction
Dear Mr. Knightley,11.21,1182.6550000000002,5,True,Fiction
Cometh the Hour (The Clifton Chronicles #6),25.01,2638.5550000000003,3,True,Fiction
Balloon Animals,17.03,1796.6650000000002,3,True,Fiction
A Man Called Ove,39.72,4190.46,1,True,Fiction
The Silent Sister (Riley MacPherson #1),46.29,4883.595,5,True,Fiction
The Dinner Party,56.54,5964.97,2,True,Fiction
The Improbability of Love,59.45,6271.975,1,True,Fiction
Mothering Sunday,13.34,1407.37,2,True,Fiction
Lies and Other Acts of Love,45.14,4762.27,1,True,Fiction
Daredevils,16.34,1723.87,3,True,Fiction
11/22/63,48.48,5114.639999999999,3,True,Fiction
The Shack,28.03,2957.165,1,True,Fiction
The High Mountains of Portugal,51.15,5396.325,1,True,Fiction
Miller's Valley,58.54,6175.97,2,True,Fiction
Hystopia: A Novel,21.96,2316.78,4,True,Fiction
The Bourne Identity (Jason Bourne #1),42.78,4513.29,4,True,Fiction
Sister Dear,40.2,4241.1,4,True,Fiction
Memoirs of a Geisha,49.67,5240.185,3,True,Fiction
Me Before You (Me Before You #1),19.02,2006.61,1,True,Fiction
Deception Point,40.32,4253.76,4,True,Fiction
The Little Paris Bookshop,24.73,2609.015,3,True,Fiction
The Firm,45.56,4806.58,3,True,Fiction
The Expatriates,44.58,4703.19,2,True,Fiction
Siddhartha,34.22,3610.21,5,True,Fiction
Last One Home (New Beginnings #1),59.98,6327.889999999999,3,True,Fiction
Digital Fortress,58.0,6119.0,5,True,Fiction
Atlas Shrugged,26.58,2804.1899999999996,5,True,Fiction
Three-Martini Lunch,23.21,2448.655,3,True,Fiction
The Nightingale,26.26,2770.4300000000003,4,True,Fiction
The Infinities,27.41,2891.755,1,True,Fiction
The Husband's Secret,52.51,5539.804999999999,5,True,Fiction
The Da Vinci Code (Robert Langdon #2),22.96,2422.28,2,True,Fiction
The Art of Fielding,22.1,2331.55,1,True,Fiction
Lila (Gilead #3),12.47,1315.585,3,True,Fiction
Jurassic Park (Jurassic Park #1),44.97,4744.335,1,True,Fiction
Inferno (Robert Langdon #4),41.0,4325.5,5,True,Fiction
Crazy Rich Asians (Crazy Rich Asians #1),49.13,5183.215,5,True,Fiction
Big Little Lies,22.11,2332.605,1,True,Fiction
The Course of Love,16.78,1770.2900000000002,3,True,Fiction
When I'm Gone,51.96,5481.78,3,True,Fiction
The Silent Wife,12.34,1301.87,5,True,Fiction
The Bette Davis Club,30.66,3234.63,3,True,Fiction
Kitchens of the Great Midwest,57.2,6034.6,5,True,Fiction
Bright Lines,39.07,4121.885,5,True,Fiction
Birdsong: A Story in Pictures,54.64,5764.52,3,True,Childrens
The Bear and the Piano,36.89,3891.895,1,True,Childrens
The Secret of Dreadwillow Carse,56.13,5921.715,1,True,Childrens
The White Cat and the Monk: A Retelling of the Poem âPangur BÃ¡nâ,58.08,6127.44,4,True,Childrens
Little Red,13.47,1421.085,3,True,Childrens
Walt Disney's Alice in Wonderland,12.96,1367.2800000000002,5,True,Childrens
Twenty Yawns,22.08,2329.4399999999996,2,True,Childrens
Rain Fish,23.57,2486.635,3,True,Childrens
Once Was a Time,18.28,1928.5400000000002,2,True,Childrens
Luis Paints the World,53.95,5691.725,3,True,Childrens
Nap-a-Roo,25.08,2645.9399999999996,1,True,Childrens
The Whale,35.96,3793.78,4,True,Childrens
"Shrunken Treasures: Literary Classics, Short, Sweet, and Silly",52.87,5577.785,3,True,Childrens
Raymie Nightingale,34.41,3630.2549999999997,2,True,Childrens
Playing from the Heart,32.38,3416.09,1,True,Childrens
Maybe Something Beautiful: How Art Transformed a Neighborhood,22.54,2377.97,1,True,Childrens
The Wild Robot,56.07,5915.385,3,True,Childrens
The Thing About Jellyfish,48.77,5145.235000000001,1,True,Childrens
The Lonely Ones,43.59,4598.745000000001,5,True,Childrens
The Day the Crayons Came Home (Crayons),26.33,2777.8149999999996,5,True,Childrens
The Cat in the Hat (Beginner Books B-1),16.26,1715.43,2,True,Childrens
Red: The True Story of Red Riding Hood,28.54,3010.97,3,True,Childrens
Horrible Bear!,37.52,3958.36,2,True,Childrens
Green Eggs and Ham (Beginner Books B-16),10.79,1138.3449999999998,4,True,Childrens
Counting Thyme,10.62,1120.4099999999999,1,True,Childrens
Are We There Yet?,10.66,1124.63,3,True,Childrens
Diary of a Minecraft Zombie Book 1: A Scare of a Dare (An Unofficial Minecraft Book),52.88,5578.84,4,True,Childrens
Matilda,28.34,2989.87,1,True,Childrens
Charlie and the Chocolate Factory (Charlie Bucket #1),22.85,2410.675,3,True,Childrens
"Don't Be a Jerk: And Other Practical Advice from Dogen, Japan's Greatest Zen Master",37.97,4005.835,2,True,Religion
You Are What You Love: The Spiritual Power of Habit,21.87,2307.2850000000003,4,True,Religion
God: The Most Unpleasant Character in All Fiction,30.03,3168.165,5,True,Religion
The Book of Mormon,24.57,2592.135,3,True,Religion
"A History of God: The 4,000-Year Quest of Judaism, Christianity, and Islam",27.62,2913.9100000000003,1,True,Religion
The Bhagavad Gita,57.49,6065.195000000001,3,True,Religion
Choosing Our Religion: The Spiritual Lives of America's Nones,28.42,2998.3100000000004,4,True,Religion
Worlds Elsewhere: Journeys Around Shakespeareâs Globe,40.3,4251.65,5,True,Nonfiction
The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,31.05,3275.775,3,True,Nonfiction
Reasons to Stay Alive,26.41,2786.255,2,True,Nonfiction
#HigherSelfie: Wake Up Your Life. Free Your Soul. Find Your Tribe.,23.11,2438.105,5,True,Nonfiction
"Unseen City: The Majesty of Pigeons, the Discreet Charm of Snails & Other Wonders of the Urban Wilderness",44.18,4660.99,4,True,Nonfiction
Throwing Rocks at the Google Bus: How Growth Became the Enemy of Prosperity,31.12,3283.1600000000003,3,True,Nonfiction
The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,16.77,1769.235,3,True,Nonfiction
The Gutsy Girl: Escapades for Your Life of Epic Adventure,37.13,3917.215,1,True,Nonfiction
The Electric Pencil: Drawings from Inside State Hospital No. 3,56.06,5914.33,1,True,Nonfiction
Spark Joy: An Illustrated Master Class on the Art of Organizing and Tidying Up,41.83,4413.065,4,True,Nonfiction
Reskilling America: Learning to Labor in the Twenty-First Century,19.83,2092.0649999999996,2,True,Nonfiction
In the Country We Love: My Family Divided,22.0,2321.0,4,True,Nonfiction
Everydata: The Misinformation Hidden in the Little Data You Consume Every Day,54.35,5733.925,2,True,Nonfiction
Call the Nurse: True Stories of a Country Nurse on a Scottish Isle,29.14,3074.27,5,True,Nonfiction
Algorithms to Live By: The Computer Science of Human Decisions,30.81,3250.455,1,True,Nonfiction
The Power of Now: A Guide to Spiritual Enlightenment,43.54,4593.47,2,True,Nonfiction
The Omnivore's Dilemma: A Natural History of Four Meals,38.21,4031.155,2,True,Nonfiction
The Genius of Birds,17.24,1818.82,1,True,Nonfiction
The Artist's Way: A Spiritual Path to Higher Creativity,38.49,4060.695,5,True,Nonfiction
So You've Been Publicly Shamed,12.23,1290.265,2,True,Nonfiction
"Daring Greatly: How the Courage to Be Vulnerable Transforms the Way We Live, Love, Parent, and Lead",19.43,2049.865,3,True,Nonfiction
Big Magic: Creative Living Beyond Fear,30.8,3249.4,3,True,Nonfiction
Becoming Wise: An Inquiry into the Mystery and Art of Living,27.43,2893.865,2,True,Nonfiction
Agnostic: A Spirited Manifesto,12.51,1319.805,5,True,Nonfiction
Whole Lotta Creativity Going On: 60 Fun and Unusual Exercises to Awaken and Strengthen Your Creativity,38.2,4030.1000000000004,4,True,Nonfiction
What's It Like in Space?: Stories from Astronauts Who've Been There,19.6,2067.8,2,True,Nonfiction
The Year of Magical Thinking,43.04,4540.72,2,True,Nonfiction
The Literature Book (Big Ideas Simply Explained),17.43,1838.865,3,True,Nonfiction
The Bad-Ass Librarians of Timbuktu: And Their Race to Save the Worldâs Most Precious Manuscripts,15.77,1663.735,1,True,Nonfiction
Swell: A Year of Waves,45.58,4808.69,1,True,Nonfiction
No Dream Is Too High: Life Lessons From a Man Who Walked on the Moon,21.95,2315.725,2,True,Nonfiction
Looking for Lovely: Collecting the Moments that Matter,29.14,3074.27,5,True,Nonfiction
Let It Out: A Journey Through Journaling,26.79,2826.345,5,True,Nonfiction
Hamilton: The Revolution,58.79,6202.345,3,True,Nonfiction
"Far & Away: Places on the Brink of Change: Seven Continents, Twenty-Five Years",15.06,1588.8300000000002,4,True,Nonfiction
